file_name;transcription
kostya3;"Камон эврибади, камон" - говорили тринадцать спартанцев, когда захватывали Мексику, однако в Мекии, короче, там был такой прикол, что из-за паспортов зеркало сломалось, и, поэтому, в обоях образовался проем в двери, и потом, короче, там папка, она со стрелками, и из-за этого такой, знаешь, тупняк получился, что Серега выпал в окно.
kostya4;Слушай, я, это, голосвым, короче, тебе скину. Мы вчера решили купить новые шторы и из-за этого сходили, короче, в, как ее, под одеялом, короче, находится эта штуковина, ИКЕА называется вот. Я совершенно забыл, что узор должен быть из квадратов, а он был из мишек плюшевых, и там, короче, в метро, я не помню, какой-то бред происходил. Извини, короче, некогда.
kostya5;В четверг четвертого числа регулирейский регулировщик лавировал, блять, короче, лавировал, да так и не вылавировал. Это вообще жесть была там. Мы, короче, вообще, просто, такую дичь устроили, что, ну, это. Блин, короче, жалко тебя там не было. Там, ну там вообще лютый трэшак творился. Мы, короче, такую муть заворотили, что там в розетку засунули, короче, ложку, и она как бабахнула... Это, вот, вообще, просто был, это был, просто, полный трэш. Я тебе отвечаю. Я немогу тебе это описать, потому что, ну, это был тотальный пипец, и мы, короче, там лампы сломали, и, вообще, там линолеум прожгли, когда калик курили. Ну, это, ты заглядывай к нам, короче. Мы всегда рады, и вот это вот все. Так что давай, братан, с днюхой тебя.
kostya6;А? Блять, пиздец.
kostya7;Это, я щас, короче, посмотрю тут, среди документов. Ты говорил что там найти надо? Паспорт, да? Да, есть у меня прививка от оспы, так что спасибо, спасибо, все я нашел, давай, до встречи.
kostya8;
kostya9;Слушай, там, мы это. Я даже не знаю, у меня слов просто нет. Ору, просто ору. Где ты это откопал? Бля, шо не могу.
kostya10;Мы сегодня, короче, на снегоходе катались, и потом мы такие решили сгонять в барчик, и... Сейчас, секунду. Да, супер. В барчик, короче, решили сгонять там на горнолыжке. И, ну цены, слушай, вполне себе приемлемые. И, как бы я рекомендую тебе это место, оно прямо хорошее, так что, будешь там, в принципе, я, думаю, можешь заехать. Идея-то в приницпе не плохая. Ну ладно, в принципе, на этом все я, думаю.
kostya11;Без разницы, что она мокрая, как бы. Это абсолютно никакая не проблема. Я, вот, думаю о том, что необходимо. Ты че устроил? Алё, вали в гости, я делом занимаюсь. Да, я понимаю. Да, я понимаю дела делами, но суть, короче, в том, что шум должен быть и после шума... Слушай, я даже не знаю, вот, когда... Забери телефон. Телефон? Да... Ниче с ним не случится там.
vova1;Ну, это, короче, не знаю с чего начать, но пусть будет такой вот войс. Я записываю голосовые сообщения, и мы, короче, собираем датасет, и мы потом будем прогонять сетку для распознавания этих войсов и, чтобы узнать какая сетка нам лучше подходит. Мы будем прогонять их на наших таргетных данных.
vova2;Вот, а ещё, наверное, сегодня пойду с собакой погулять и надо будет на улице что-нибудь позаписывать, чтобы вместе с голосом был звук, чтобы там шуршало все такое типа, типа идешь такой, как ехидна, вот, как в той пасте на дваче где или в этом анекдоте, где там в конце говорится, что этим была большая ехидна.
vova3;Вчера тут ходил гулять с собакой, начал слушать книгу Айн Рэнд "Атлант расправил плечи". Я про нее слышал противоречивые отзывы и с одной и сдругой стороны, поэтому решил ознакомиться с творчеством, так сказать Алисы Розенбаум, или как ее там по-настоящему зовут.
vova4;Вот, ну и, короче, вот, чтобы свое мнение составить, буду слушать эту книжку, потом, наверное, как-нибудь поделюсь, а может быть и не поделюсь, ну, если спросишь, то поделюсь. Вобщем, так или иначе, это, просто, текст для голосовых сообщений и, на самом деле, не важно что я здесь говорю.
vova5;Поэтому я щас буду записывать анекдот. Значит, один восьмидесятилетний старик пришел к врачу на медосмотр. "Ну, как вы себя чувствуете?" - спрашивает его врач. "Лучше, чем когда-либо", - браво отвечает старичок. У меня восемнадцатилетняя подруга, она беременна, и скоро родится наш ребенок. Ну, что скажете доктор? Доктор подумал минутку и говорит: "Я расскажу вам одну историю. Знавал я одного человека, заядлого охотника. Собрался он однажды на охоту и по ошибке вместо винтовки взял с собой зонтик. И вот, он идет по лесу как, как вдруг, откуда не возьмись вылезает огромный медведь прямо на него. Мужик этот не растерялся, вскинул зонтик, нажал на ручку, и медведь замертво свалился у его ног". "Ну, это же не возможно!" - возразил старичок, "наверное, кто-то другой в это время выстрелил? "Собственно", сказал доктор - "к этому я и пытаюсь подвести наш разговор".
vova6;Вот тут я пытаюсь записать аудио с наушников, но у меня, видимо, настолько херовый микрофон, что ничего будет слышно не будет, поэтому текст расшифрован быть не должен. Ну, может быть, что-то и получится, но, скорее всего, нужно будет сделать, чтобы моделька говорила, что текст не распознан.
vova7;Щас ещё с музыкой на фоне попробуем записать. Вот Ольга тут включила кавер на энджой зе сайленс. Как отвратительно. А сколько тебе надо голосовых сообщений записать? Мне нужно записать 10 голосовых сообщений. Мне нунжно заказать такси. Мне нужно заказать такси, да. Ты можешь, кстати, мне помочь позаписывать мне войсы, и я потом их тоже Юре перешлю.
vova8;
vova9;Кстати, вот ещё записываю войс на улице. Машины ездят. Я мимо детской площадки иду, но мне кажется, учитывая то, как дома записывался войс, здесь тоже достаточно качественно, в итоге, запишется, потому что ветра щас нет, и не шуршит ничего.
vova10;Щас, вот, ещё записываю войс, когда, вот, немножко ветер подул, машины немножко шуршат, и, возможно, что-нибудь, пойдем сюда, возможно, что-нибудь изменится.
vova11;Вот ещё машина. А вот еще проехала. Трактор ездит. Короче тут все перекопали Пятерочку. Непонятно что делают. Не иначе как метро.
nikita1;Воспитательница в детском садике спрашивает: "Коля, ты умеешь считать?" Один, два, три, четыре, пять. Машенька, продолжай. Шесть, семь, восемь, девять. Вовочка, считай дальше. Десятка, валет, дама, король и туз.
nikita2;Перекрестная дипломатия, звонок Рокфеллеру: "Скажите, вашей дочери нужен жених?" Нет, не нужен. А если он президент швейцарского банка? Тогда, нужен. Звонок в швейцарский банк: "Скажите, вашему банку нужен президент?" Нет, не нужен. А если он жених дочери Рокфеллера? Тогда, нужен.
nikita3;Ехали как-то в машине две блондинки. Вдруг, машина останавливается. Они выходят. Одна говорит: "Блин, колесо спустило". Совсем? Нет, только снизу.
nikita4;Доктор, мрачно поглядывая на пациента: "Больной, вы любите литературу?" Да. Замечательно. Скоро вы познакомитесь с Пушкиным, Лермонтовым, Есениным, Толстым. Нам в палате прочитают лекцию о русской литературе? Лично познакомитесь, лично.
nikita5;Увидел в аптеке презервативы. В одной упаковке двенадцать штук и одна гигиеническая салфетка в подарок. Я не удержался и спросил продавца: "А зачем салфетка в подарок". Ответ убил: "Пот со лба вытереть".
nikita6;Британские ученые считают, что русские после пятой рюмки слово "блять" используют как запятую.
nikita7;Попали русский, американец и немец в плен к людоедам. Людоед говорит: "Соберите по десять фруктов в джунглях и принесите их сюда. Не принесете, мы вас съедим." Ну, значит, пришел сначала американец с десятью сливами. Людоед говорит: "А теперь засунь их себе в жопу. Если проявишь хоть какую-то эмоцию, мы тебя съедим." К этому времени подходит русский с черникой. Американец засунул 3, на четвертой заорал. Русский засовывает на девяти, заржал. Американец в раю спрашивает: "У тебя были все шансы остаться. Почему ты засмеялся?" Русский отвечает: "Там немец с ананасами шел."
nikita8;Мальчик-с-пальчик любил уединяться с Дюймовочкой в столе со столовыми приборами. Отсюда и пошла фраза "сосет под ложечкой".
nikita9;Ты где служил? Не далеко от Парижа. Ух ты! А где конкретно? В Челябинске. Фигасе недалеко. Ну не знаю, ротный говорил, что полетное время двенадцать минут.
nikita10;Сидят как-то в одном поезде китаец, узбек и русский. Ну, китаец достает смартфон, делает пару селфи и выкидывает его из поезда. Остальные переглянулись, спросили его: "Ты че делаешь?" Китаец отвечает: "Да мне не жалко, у меня этого добра в своей стране навалом." Через какое-то время узбек достает арбуз, делит пополам, одну половину кладет на стол, вторую выкидывает из окна. Остальные у него тоже спрашивают: "А ты че делаешь?" Да в моей стране этого добра тоже навалом. Через час русский выкидывает из окна либерала.
iura1;Как же вы заебали меня со своими голосовыми. Сами потом попробуцте хотя бы одно перепечатать.
iura2;Я не знаю, но, в целом, такой вариант рассмотреть можно.
iura3;Так, мужики, щас вот-вот все скину, потом сделаю подборки по лучшим голосовухам.
iura4;В кажом диалоге всегда есть один долбаеб. Я не долбаеб.
iura5;Пойдем завтра сходим куда-нибудь в бар, посидим, поговорим, не знаю. В целом, у меня завтра день разгруженный, поэтому можно что-то придумать, я думаю.
iura6;Нет, погулять он сегодня не выйдет, наказан.
iura7;Алеша, успокойся. Не ты первый, не ты последний. Прорвемся как-нибудь. Че соплю зажевал?
iura8;Володя, ты где проснулся? Соберись, давай, ноги в руки и кабанчиком к нам. Хасан ждать долго не будет.
iura9;Дорогие мои, дела так не делаются. Вы берега то не путайте, вы серьезных людей подвели. Я хз что с нами сейчас будет, надо разбираться, но пока никто из нас не понимает как лавировать в данной ситуации, а вообще, ребята, лучше валите, валите и как можно скорее. Не знаю, в Мексику, в Аргентину, куда хотите.
iura10;Ну, осталось последнее голосовое, надо как-то его, не знаю, договорить, а то, по правде сказать, я ваши спичи задрался уже разгребать. Вот, как-то не знаю, щас закончу все скину, короче, вам
